country,article_title,date,views
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260718,7122
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260719,7267
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260720,6609
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260721,6513
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260722,6345
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260723,6629
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260724,5920
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260725,5710
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260726,6779
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260727,6220
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260728,6313
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260729,6120
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260730,6100
England,England,20221101,18859
England,England,20221102,17397
England,England,20221103,17503
England,England,20221104,17263
England,England,20221105,17915
England,England,20221106,18434
England,England,20221107,17656
England,England,20221108,18174
England,England,20221109,19236
England,England,20221110,29497
England,England,20221111,17837
England,England,20221112,17001
England,England,20221113,34260
England,England,20221114,20816
England,England,20221115,19673
England,England,20221116,20886
England,England,20221117,19424
England,England,20221118,19269
England,England,20221119,17593
England,England,20221120,22916
England,England,20221121,90724
England,England,20221122,28236
England,England,20221123,22876
England,England,20221124,22274
England,England,20221125,58425
England,England,20221126,27858
England,England,20221127,22093
England,England,20221128,23090
England,England,20221129,47521
England,England,20221130,29426
England,England,20221201,22697
England,England,20221202,16965
England,England,20221203,17136
England,England,20221204,27187
England,England,20221205,20821
England,England,20221206,22018
England,England,20221207,17634
England,England,20221208,16774
England,England,20221209,18320
England,England,20221210,47518
England,England,20221211,23386
England,England,20221212,17487
England,England,20221213,17196
England,England,20221214,16420
England,England,20221215,15567
England,England,20221216,13990
England,England,20221217,14049
England,England,20221218,14477
England,England,20221219,15610
England,England,20221220,14289
England,England,20221221,13395
England,England,20221222,13279
England,England,20221223,12470
England,England,20221224,11874
England,England,20221225,11468
England,England,20221226,13368
England,England,20221227,14306
England,England,20221228,13090
England,England,20221229,12640
England,England,20221230,12799
England,England,20221231,12475
